date,open,close,raw_open,raw_close
2022-01-20,426.92,420.34,453.75,446.75
2022-01-21,419.22,412.08,445.56,437.98
2022-01-24,406.49,413.83,432.03,439.84
2022-01-25,407.45,408.78,433.06,434.47
2022-01-26,414.66,407.76,440.72,433.38
2022-01-27,412.35,405.74,438.26,431.24
2022-01-28,407.1,415.82,432.68,441.95
2022-01-31,415.15,423.31,441.24,449.91
2022-02-01,424.03,426.17,450.68,452.95
2022-02-02,428.57,430.31,455.5,457.35
2022-02-03,424.29,420.19,450.95,446.6
2022-02-04,419.96,422.17,446.35,448.7
2022-02-07,422.93,420.82,449.51,447.26
2022-02-08,420.32,424.28,446.73,450.94
2022-02-09,428.3,430.49,455.22,457.54
2022-02-10,424.65,422.75,451.34,449.32
2022-02-11,422.84,414.42,449.41,440.46
2022-02-14,413.91,413.06,439.92,439.02
2022-02-15,417.49,419.72,443.73,446.1
2022-02-16,417.68,420.19,443.93,446.6
2022-02-17,417.01,411.22,443.22,437.06
2022-02-18,411.47,408.56,437.33,434.23
2022-02-22,406.35,404.17,431.89,429.57
2022-02-23,407.08,397.11,432.66,422.07
2022-02-24,386.72,402.68,411.02,427.99
2022-02-25,404.21,411.87,429.61,437.75
2022-02-28,406.49,410.81,432.03,436.63
2022-03-01,409.32,404.56,435.04,429.98
2022-03-02,406.81,412,432.37,437.89
2022-03-03,414.43,409.95,440.47,435.71
2022-03-04,406.22,406.62,431.75,432.17
2022-03-07,406.03,394.63,431.55,419.43
2022-03-08,394.81,391.64,419.62,416.25
2022-03-09,400,402.14,425.14,427.41
2022-03-10,397.54,400.32,422.52,425.48
2022-03-11,402.81,395.23,428.12,420.07
2022-03-14,396,392.34,420.89,417
2022-03-15,394.95,400.97,419.77,426.17
2022-03-16,404.47,409.86,429.89,435.62
2022-03-17,407.95,414.99,433.59,441.07
2022-03-18,413.38,419.54,438,444.52
2022-03-21,419.37,419.41,444.34,444.39
2022-03-22,420.8,424.32,445.86,449.59
2022-03-23,421.79,418.86,446.91,443.8
2022-03-24,420.88,425.17,445.94,450.49
2022-03-25,425.8,427.25,451.16,452.69
2022-03-28,426.65,430.22,452.06,455.84
2022-03-29,434.17,435.59,460.02,461.53
2022-03-30,434.47,433,460.34,458.79
2022-03-31,432.15,426.26,457.89,451.64
2022-04-01,427.83,427.46,453.31,452.92
2022-04-04,427.66,431.13,453.13,456.8
2022-04-05,429.63,425.68,455.22,451.03
2022-04-06,421.77,421.42,446.89,446.52
2022-04-07,420.55,423.55,445.59,448.77
2022-04-08,422.79,422.41,447.97,447.57
2022-04-11,419.15,415.19,444.11,439.92
2022-04-12,418.18,413.66,443.08,438.29
2022-04-13,413.41,418.39,438.03,443.31
2022-04-14,418.62,413.18,443.55,437.79
2022-04-18,412.26,413.35,436.81,437.97
2022-04-19,413.25,420.03,437.86,445.04
2022-04-20,421.8,419.72,446.92,444.71
2022-04-21,423.33,413.44,448.54,438.06
2022-04-22,412.35,402.09,436.91,426.04
2022-04-25,399.86,404.43,423.67,428.51
2022-04-26,401.9,392.71,425.83,416.1
2022-04-27,393.79,393.82,417.24,417.27
2022-04-28,398.56,403.77,422.29,427.81
2022-04-29,399.78,388.84,423.59,412
2022-05-02,388.91,391.18,412.07,414.48
2022-05-03,391.68,392.98,415.01,416.38
2022-05-04,393.64,404.95,417.08,429.06
2022-05-05,400.69,390.55,424.55,413.81
2022-05-06,387.99,388.22,411.1,411.34
2022-05-09,382.33,375.79,405.1,398.17
2022-05-10,381.76,376.66,404.49,399.09
2022-05-11,375.7,370.68,398.07,392.75
2022-05-12,367.49,370.29,389.37,392.34
2022-05-13,374.41,379.14,396.71,401.72
2022-05-16,377.5,377.6,399.98,400.09
2022-05-17,383.68,385.37,406.53,408.32
2022-05-18,380.82,369.84,403.5,391.86
2022-05-19,366.78,367.57,388.62,389.46
2022-05-20,371.15,367.73,393.25,389.63
2022-05-23,370.75,374.61,392.83,396.92
2022-05-24,370.5,371.75,392.56,393.89
2022-05-25,370.26,375.04,392.31,397.37
2022-05-26,376.26,382.53,398.67,405.31
2022-05-27,384.98,391.92,407.91,415.26
2022-05-31,390.31,389.72,413.55,412.93
2022-06-01,391.84,386.57,415.17,409.59
2022-06-02,386.41,393.88,409.42,417.34
2022-06-03,389.22,387.47,412.4,410.54
2022-06-06,391.47,388.65,414.78,411.79
2022-06-07,385.16,392.37,408.1,415.74
2022-06-08,390.67,388.11,413.93,411.22
2022-06-09,386.33,378.88,409.34,401.44
2022-06-10,372.69,367.89,394.88,389.8
2022-06-13,358.5,353.92,379.85,375
2022-06-14,355.67,352.86,376.85,373.87
2022-06-15,356.15,357.89,377.36,379.2
2022-06-16,349.69,346.04,370.51,366.65
2022-06-17,346.46,346.79,365.51,365.86
2022-06-21,352.5,355.52,371.89,375.07
2022-06-22,351.3,354.87,370.62,374.39
2022-06-23,357.01,358.35,376.64,378.06
2022-06-24,361.52,369.75,381.4,390.08
2022-06-27,370.67,368.33,391.05,388.59
2022-06-28,369.89,360.81,390.23,380.65
2022-06-29,361.36,360.51,381.23,380.34
2022-06-30,356.63,357.59,376.24,377.25
2022-07-01,356.93,361.37,376.56,381.24
2022-07-05,356.29,362.05,375.88,381.96
2022-07-06,362.19,363.27,382.11,383.25
2022-07-07,365.04,368.71,385.12,388.99
2022-07-08,367.08,368.41,387.27,388.67
2022-07-11,365.74,364.2,385.85,384.23
2022-07-12,363.65,360.98,383.65,380.83
2022-07-13,355.55,359.08,375.1,378.83
2022-07-14,354.13,358.21,373.61,377.91
2022-07-15,362.61,365.05,382.55,385.13
2022-07-18,368.13,362.04,388.38,381.95
2022-07-19,365.95,371.82,386.08,392.27
2022-07-20,372.01,374.19,392.47,394.77
2022-07-21,373.61,378,394.16,398.79
2022-07-22,378.13,374.5,398.92,395.09
2022-07-25,375.12,374.95,395.75,395.57
2022-07-26,373.31,370.51,393.84,390.89
2022-07-27,373.8,380.13,394.36,401.04
2022-07-28,380.94,384.87,401.89,406.04
2022-07-29,386.33,390.51,407.58,411.99
2022-08-01,387.82,389.36,409.15,410.77
2022-08-02,387.79,386.79,409.12,408.06
2022-08-03,388.91,392.85,410.3,414.45
2022-08-04,392.77,392.58,414.37,414.17
2022-08-05,388.31,391.92,409.66,413.47
2022-08-08,393.6,391.46,415.25,412.99
2022-08-09,390.73,389.91,412.22,411.35
2022-08-10,396.95,398.1,418.78,419.99
2022-08-11,400.94,398.1,422.99,419.99
2022-08-12,400.03,404.84,422.03,427.1
2022-08-15,402.62,406.5,424.765,428.86
2022-08-16,405.43,407.3,427.73,429.7
2022-08-17,403.71,404.41,425.91,426.65
2022-08-18,404.61,405.59,426.86,427.89
2022-08-19,402.83,400.14,424.98,422.14
2022-08-22,395.31,391.8,417.05,413.35
2022-08-23,391.38,390.86,412.9,412.35
2022-08-24,390.63,392.11,412.11,413.67
2022-08-25,393.59,397.64,415.24,419.51
2022-08-26,397.53,384.18,419.39,405.31
2022-08-29,381.23,381.64,402.2,402.63
2022-08-30,382.8,377.45,403.85,398.21
2022-08-31,379.08,374.58,399.93,395.18
2022-09-01,372.41,375.76,392.89,396.42
2022-09-02,379.41,371.79,400.28,392.24
2022-09-06,372.64,370.39,393.13,390.76
2022-09-07,370.08,377.04,390.43,397.78
2022-09-08,374.78,379.51,395.39,400.38
2022-09-09,381.75,385.41,402.74,406.6
